pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
83	Молодая девушка смотрит на женщину в костюме	Люди в костюмах собираются в лесу и смотрят в одном направлении	2.2	NEUTRAL
84	Люди в костюмах собираются в лесу и смотрят в одном направлении	Маленькая девочка смотрит на мужчину в костюме	3.0	NEUTRAL
85	Люди в костюмах собираются в лесу и смотрят в одном направлении	Маленькая девочка в костюме выглядит как женщина	2.0	NEUTRAL
87	Одинокий велосипедист прыгает в воздухе	Байкер прыгает в воздухе, в одиночку	5.0	ENTAILMENT
88	Там нет байкера прыжков в воздухе	Одинокий велосипедист прыгает в воздухе	4.2	CONTRADICTION
90	Человек прыгает в пустой бассейн	Человек прыгает в полный бассейн	3.0	CONTRADICTION
91	Человек прыгает в пустой бассейн	Перемычка мужчину в пустом бассейне	3.1	NEUTRAL
93	Одинокий велосипедист прыгает в воздухе	Человек прыгает в полный бассейн	1.7	NEUTRAL
94	Перемычка мужчину в пустом бассейне	Одинокий велосипедист прыгает в воздухе	1.4	NEUTRAL
97	Одинокий велосипедист прыгает в воздухе	Человек прыгает в пустой бассейн	1.5	NEUTRAL
98	Четверо детей делают прогибы в парке	Четверо детей делают прогибы в парке	4.8	ENTAILMENT
99	Четверо детей делают прогибы в тренажерном зале	Четверо детей делают прогибы в парке	3.8	NEUTRAL
100	Четыре девочки делают прогибы и играть в саду	Четыре девочки делают прогибы и играть на открытом воздухе	4.1	ENTAILMENT
107	Человек, который играет бежит с мячом в руках	Игрок бежит с мячом	4.3	ENTAILMENT
112	Две группы людей играют в футбол	Игрок бежит с мячом	2.1	NEUTRAL
113	Две команды соревнуются в бейсбол	Игрок бежит с мячом	3.0	NEUTRAL
117	Игрок бежит с мячом	Две команды соревнуются в футбольном матче	2.6	NEUTRAL
120	Пять деревянная клеть перед хижиной каждого ребенка	Пятеро детей, стоя перед деревянной избой	3.2	NEUTRAL
122	Пять детей стоят близко друг к другу и один ребенок имеет оружие	Пять детей стоят близко друг к другу, и никто из детей не имеет оружие	3.7	CONTRADICTION
124	Пять детей стоят близко друг к другу, и никто из детей не имеет оружие	Пятеро детей, стоя перед деревянной избой	2.6	NEUTRAL
126	Пять детей стоят в деревянной хижине	Пять детей стоят близко друг к другу и один ребенок имеет оружие	2.7	NEUTRAL
127	Пять деревянная клеть перед хижиной каждого ребенка	Пять детей стоят близко друг к другу и один ребенок имеет оружие	2.3	NEUTRAL
129	Старик сидит в поле	Человек сидит в поле	4.4	ENTAILMENT
130	Человек сидит в поле	Человек работает в поле	2.6	NEUTRAL
131	Человек в шляпе и сидит на траве	Человек сидит в поле и в шляпе	4.1	NEUTRAL
133	Человек сидит и носить шляпу травы	Человек в шляпе и сидит на траве	3.4	NEUTRAL
136	Человек сидит и носить шляпу травы	Человек сидит в поле	3.3	NEUTRAL
139	Человек сидит в поле	Человек в шляпе и сидит на траве	3.8	NEUTRAL
140	В настоящее время ведется охваченная группой друзей в плоту	Группа друзей гоняют ток в плоту	4.9	ENTAILMENT
141	Группа друзей гоняют ток в плоту	Группа не едет тока в плоту	3.7	CONTRADICTION
146	В настоящее время ведется охваченная группой друзей в плоту	Эта группа людей практикует безопасность воды и носить Хранитель	3.2	NEUTRAL
148	Группа друзей гоняют ток в плоту	Эта группа людей практикует безопасность воды и носить Хранитель	3.1	NEUTRAL
150	Олень прыгает через забор	Олень не прыгает через забор	3.9	CONTRADICTION
159	Люди идут внутри здания, которое имеет много фресок на нем	Люди идут за пределами здания, которое имеет много фресок на нем	3.4	NEUTRAL
161	Несколько людей находятся в передней части красочного здания	Никто не находится в передней части здания красочного	3.5	CONTRADICTION
163	Люди идут за пределами здания, которое имеет много фресок на нем	Никто не находится в передней части здания красочного	3.6	NEUTRAL
164	Люди идут за пределами здания, которое имеет несколько фресок на него	Несколько людей находятся в передней части красочного здания	3.6	ENTAILMENT
170	Семья смотрит на маленький мальчик, который бьет бейсбол	Семья смотрит на маленький мальчик, который отсутствующий в бейсбол	3.9	NEUTRAL
173	Ребенок бьет бейсбол	Семья смотрит на маленький мальчик, который отсутствующий в бейсбол	3.015	NEUTRAL
176	Ребенок отсутствует бейсбол	Семья смотрит на маленький мальчик, который бьет бейсбол	2.7	NEUTRAL
183	Лиловая толпа людей ест на различных красных освещенные столиках ресторана	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	3.3	NEUTRAL
184	Большая группа азиатских людей ест в ресторане	Различные клиенты едят в переполненном ресторане с фиолетовыми огнями	2.9	NEUTRAL
186	Лиловая толпа людей ест на различных красных освещенные столиках ресторана	Большая группа азиатских людей ест в ресторане	3.1	NEUTRAL
188	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	Небольшая группа людей ждет, чтобы поесть в ресторане	3.2	NEUTRAL
192	Мотоцикл всадник стоит на сиденье белого мотоцикла	Ни один мотоциклист не стоит на сиденье мотоцикла	3.8	CONTRADICTION
194	Никто не на мотоцикле и стоит на сиденье	Кто-то на черно-белом мотоцикле и стоит на сиденье	3.7	CONTRADICTION
200	Мотоциклист едет на мотоцикле опасно вдоль проезжей части	Мотоциклист едет на мотоцикле вдоль проезжей части	4.6	ENTAILMENT
201	Там нет мотоциклиста ехал на мотоцикле вдоль проезжей части	Мотоциклист едет на мотоцикле вдоль проезжей части	3.7	CONTRADICTION
202	Человек со шлемом окрашены в красный цвет едет синий мотоцикл вниз по дороге	Мотоциклист с красным шлемом едет синий мотоцикл вниз по дороге	4.8	ENTAILMENT
205	Мотоциклист без шлема ждет на синем мотоцикле рядом с дорогой	Мотоциклист едет на мотоцикле вдоль проезжей части	3.3	NEUTRAL
215	Две собаки играют на дереве	Собака ловит палкой в ​​воздухе, а другой наблюдает	3.7	NEUTRAL
216	Две собаки играют на дереве	Там не собака прыгает в воздухе	2.7	NEUTRAL
217	Две собаки играют на дереве	Собака прыгает высоко в воздухе, а другой наблюдает	3.0	NEUTRAL
223	Девушка в белом танцует	Танцор танцует перед звуковым оборудованием	4.0	NEUTRAL
224	Девушка в белом танцует	Блондинка танцует за звуковым оборудованием	3.3	NEUTRAL
226	Девушка в белой одежде и танцует	Блондинка танцует перед звуковым оборудованием	3.5	NEUTRAL
227	Блондинка танцует перед звуковым оборудованием	Там нет девушки в белом танце	3.3	NEUTRAL
232	Три азиатские дети танцуют и человек ищет	Три азиатские дети танцуют и не смотрит ни один человек	3.9	CONTRADICTION
233	Три азиатские дети танцуют и человек ищет	Азиатский человек танцует и трое детей смотрят	3.7	NEUTRAL
234	Дети семьи играют и ожидания	Три азиатские дети танцуют и серьезный человек смотрит	1.9	NEUTRAL
237	Дети семьи терпеливо играть и ждать	Три азиатские дети танцуют и человек ищет	2.3	NEUTRAL
238	Там нет детей, играющих и ждущих	Три азиатские дети танцуют и человек ищет	1.6	NEUTRAL
240	Женщина одета в египетских шляпу на голове	Женщина носит египетский головной убор	4.3	ENTAILMENT
241	Женщина носит египетский головной убор	Женщина одета индийский головной убор	4.0	NEUTRAL
248	Черная женщина в очках над головным убором	Женщина носит египетский головной убор	3.6	NEUTRAL
249	Женщина одета в египетских шляпу на голове	Женщина в очках и черный головной убор	2.5	NEUTRAL
254	Турист находится на вершине горы и танцы	Там нет путешественника танцев на вершине горы	3.2	CONTRADICTION
256	Там нет ни одного человека, на высокой скале над деревьями, стоя в странном положении	Человек находится на высокой скале над деревьями и стоит в чужом положении	4.3	CONTRADICTION
257	Турист находится на вершине горы и танцы	Человек находится на высокой скале над деревьями и стоит в неудобном положении	2.5	NEUTRAL
258	Турист находится на вершине горы и танцы	Там нет ни одного человека, на высокой скале над деревьями, стоя в странном положении	2.5	NEUTRAL
259	Человек находится на высокой скале над деревьями и стоит в чужом положении	Турист находится на вершине горы и делает радостный танец	2.9	NEUTRAL
260	Там нет путешественника танцев на вершине горы	Человек находится на высокой скале над деревьями и стоит в чужом положении	2.4	NEUTRAL
265	Коричневый конь очень близко красный ствол на родео	Коричневый конь рядом с красным стволом в родео	4.8	ENTAILMENT
266	Коричневый конь рядом с красным стволом в родео	Коричневый конь далеко от красной бочки на родео	3.6	CONTRADICTION
269	Пастушка едет коричневую лошадь и повороты ствола	Коричневый конь рядом с красным стволом в родео	3.2	NEUTRAL
272	Пастушка едет на лошади и углы за баррель	Коричневый конь рядом с красным стволом в родео	3.8	NEUTRAL
273	Мальчик стоит в холодной воде	Мальчик стоит в воде	4.1	ENTAILMENT
276	Мальчик сидит возле синего океана	Мальчик пробираться через синий океан	3.2	CONTRADICTION
277	Мальчик стоит в воде	Ребенок плавает через синий океан	3.0	NEUTRAL
279	Мальчик пробираться через синий океан	Мальчик стоит в холодной воде	3.3	NEUTRAL
283	Человек играет на гитаре на сцене	Там нет ни одного человека, играть на гитаре на сцене	3.6	CONTRADICTION
286	Человек играет на гитаре на сцене	Гитарист имеет светлые и развевающиеся волосы	3.0	NEUTRAL
287	Человек играет на гитаре на сцене	Лысый человек играет на гитаре	3.8	NEUTRAL
289	Там нет ни одного человека, играть на гитаре на сцене	Человек имеет светлые и развевающиеся волосы и играет на гитару	3.4	NEUTRAL
291	Несколько детей сидят вниз и колени подняты	Несколько детей лежа и поднимают колени	4.0	NEUTRAL
293	Две молодые девушки сидят на земле	Две девочки сидят на земле	4.4	ENTAILMENT
296	Две девочки лежат на земле	Несколько детей сидят вниз и колени подняты	2.8	NEUTRAL
301	Голая дама ходит перед толпой в краске тела	Там нет леди ходить в краске тела перед толпой 	2.9	CONTRADICTION
302	Голая дама ходит перед толпой в краске тела	Нагая толпа в краске тела идет перед дамой 	3.1	NEUTRAL
303	Молодой, топлес женщина покрыта краской	Топлес девушка покрыта краской	4.4	ENTAILMENT
305	Голая дама ходит перед толпой в краске тела	Топлес девушка покрыта краской	3.8	ENTAILMENT
309	Нагая толпа в краске тела идет перед дамой 	Молодой, топлес женщина покрыта краской	3.0	NEUTRAL
310	Голая дама ходит перед толпой в краске тела	Молодой, топлес женщина покрыта краской	4.2	NEUTRAL
311	Группа людей, рядом с океаном	Толпа людей у ​​воды	4.3	ENTAILMENT
312	Толпа людей у ​​воды	Толпа людей далеко от воды	3.8	CONTRADICTION
313	Группа детей в униформе стоит у ворот и один целует мать	Группа детей, носить ту же одежду, ждет у ворот и один целует мать	4.5	ENTAILMENT
315	Группа матерей в униформе стоит у детей и один целуют ворота	Группа детей в униформе стоит у ворот и один целует мать	3.3	NEUTRAL
323	Человек на стоянке и играет в теннис против большой стены	Человек на стоянке и играет в теннис против друга	3.9	NEUTRAL
327	Человек на стоянке и играет в теннис против большой стены	Там нет ни одного человека, указывая на машину	1.5	NEUTRAL
329	Человек на стоянке и играет в теннис против друга	Человек указывает на серебро седан	1.3	NEUTRAL
331	Группа людей на пляже	Группа людей, рядом с морем	4.0	ENTAILMENT
332	Группа людей на пляже	Группа людей на горе	2.6	NEUTRAL
333	Мужчина, женщина и две девочки гуляют на пляже	Четыре человека идет на пляже	4.5	ENTAILMENT
335	Группа людей на пляже	Четыре человека идет на пляже	4.6	NEUTRAL
338	Мужчина, женщина и две девочки гуляют на пляже	Группа людей на горе	1.4	NEUTRAL
339	Мужчина, женщина и две девочки гуляют на пляже	Группа людей на пляже	4.3	ENTAILMENT
340	Школьница с черной сумкой на переполненном поезде	Девушка с черной сумкой на переполненном поезде	4.7	ENTAILMENT
341	Там нет девушки с черным мешком на переполненный поезде	Девушка с черной сумкой на переполненном поезде	3.7	CONTRADICTION
342	Девушка с черной сумкой на переполненном поезде	Стесненных черный поезд на сумке девушки	2.7	NEUTRAL
344	Азиатская женщина в толпе не несет черный мешок	Азиатская женщина в толпе несет черную сумку	3.8	NEUTRAL
346	Девушка с черной сумкой на переполненном поезде	Азиатская женщина в толпе не несет черный мешок	2.5	NEUTRAL
347	Школьница с черной сумкой на переполненном поезде	Азиатская женщина в толпе несет черную сумку	2.8	NEUTRAL
351	Собака преследует другую и держит палку в рот	Собака преследует другую и держит кусок дерева во рту	4.6	ENTAILMENT
354	Две собаки работают и нести игрушку в рот	Две собаки работают и несущий объект в рот	4.3	ENTAILMENT
358	Собака преследует другую и держит кусок дерева во рту	Две собаки работают и несущий объект в рот	3.9	NEUTRAL
360	Две собаки работают и несущий объект в рот	Собака преследует палку и держа другую собаку в рот	3.2	NEUTRAL
361	Собака преследует другую и держит палку в рот	Две собаки работают и несущий объект в рот	4.0	ENTAILMENT
362	Грязный футбольный мяч катится в сетку ворот	Футбольный мяч катится в сетку ворот	4.5	ENTAILMENT
363	Футбольный мяч не переходящий в сетку ворот	Футбольный мяч катится в сетку ворот	3.4	CONTRADICTION
366	Человек, который играет в футбол ногами мяч в ворота	Футбольный мяч катится в сетку ворот	4.1	NEUTRAL
367	Футбольный мяч катится в сетку ворот	Футболист ногами мяч из ворот	3.2	NEUTRAL
370	Футбольный мяч катится в сетку ворот	Футбольный игрок ногами мяч в ворота	4.3	NEUTRAL
372	Человек сидит на стуле и потирая глаза	Там нет ни одного человека, сидящего на стуле и потирая глаза	3.8	CONTRADICTION
373	Человек с татуировкой является развалившись на диване и держа карандаш	Татуированный человек на диване и держа карандаш	4.4	ENTAILMENT
374	Человек с татуировкой является развалившись на диване и держа карандаш	Человек с татуировкой является развалившись на диване и смотрит на карандаш	2.9	NEUTRAL
375	Люди с татуировкой держат диван с карандашом	Человек с татуировкой является развалившись на диване и держа карандаш	2.6	NEUTRAL
377	Человек сидит на стуле и потирая глаза	Человек с татуировкой является развалившись на диване и смотрит на карандаш	2.1	NEUTRAL
378	Люди с татуировкой держат диван с карандашом	Человек сидит на стуле и потирая глаза	2.0	NEUTRAL
379	Человек отдыхает на стуле и потирая глаза	Человек с татуировкой является развалившись на диване и держа карандаш	2.5	NEUTRAL
380	Человек с татуировкой является развалившись на диване и держа карандаш	Там нет ни одного человека, сидящего на стуле и потирая глаза	1.6	NEUTRAL
381	Человек с татуировкой является развалившись на диване и держа карандаш	Человек сидит на стуле и потирая глаза	2.4	NEUTRAL
387	Коричневый и белый собака работает в высокой траве	Черная и загар собака проходит через низкую и зеленую траву	3.8	NEUTRAL
390	Белая и загар собака бежит по высокой и зеленой траве	Коричневый и белый собака работает в высокой траве	4.6	ENTAILMENT
391	Люди с краской покрыта одеждой сидят на улице в оживленном районе что-то писать	Человек в одежде, которые покрыты краской и сидит на улице в оживленном районе что-то писать	4.8	ENTAILMENT
392	Там нет ни одного человека, носить одежду, которая покрыта краской или сидит на улице в оживленном районе что-то писать	Человек в одежде, которые покрыты краской и сидит на улице в оживленном районе что-то писать	4.1	CONTRADICTION
393	Сидящий человек занят написанием что-то в районе покрыты краской	Человек в одежде, которые покрыты краской и сидит на улице в оживленном районе что-то писать	3.7	NEUTRAL
395	Человек сидит рядом с велосипедом и пишет записку	Там нет ни одного человека, написать записку рядом с велосипедом	4.2	CONTRADICTION
396	Человек в одежде, которые покрыты краской и сидит на улице в оживленном районе что-то писать	Человек стоит рядом с велосипедом и писать на листе бумаги	2.6	NEUTRAL
397	Там нет ни одного человека, написать записку рядом с велосипедом	Человек в одежде, которые покрыты краской и сидит на улице в оживленном районе что-то писать	2.7	NEUTRAL
398	Человек сидит рядом с велосипедом и пишет записку	Люди с краской покрыта одеждой сидят на улице в оживленном районе что-то писать	3.1	NEUTRAL
403	Группа скаутов кемпинг в траве	Группа разведчиков походы по траве	3.5	NEUTRAL
404	Некоторые люди ходят	Люди идут	4.7	ENTAILMENT
409	Некоторые люди ходят	Группа скаутов кемпинг в траве	1.5	NEUTRAL
410	Группа разведчиков походы по траве	Некоторые люди ходят	3.2	ENTAILMENT
413	Двое мужчин отдохнуть от поездки на заснеженной дороге	Двое мужчин ломают в машину во время поездки на заснеженной дороге	3.0	NEUTRAL
415	Двое мужчин с велосипедами на стороне снежной дороги	Двое мужчин с автомобилями на стороне снежной дороги	3.5	NEUTRAL
422	Два человека держат удочки и рыболовные снасти	Двое мужчин, проведение удочки	4.3	ENTAILMENT
423	Два человека не держат удочки	Двое мужчин, проведение удочки	3.2	CONTRADICTION
427	Двое мужчин, проведение удочки	Два человека стоят у воды и держат инструменты, используемые для рыбалки	4.3	NEUTRAL
428	Там нет ни одного человека, стоящего рядом с водой и проведение удочки	Двое мужчин, проведение удочки	3.2	NEUTRAL
434	Шлем девушка едет на велосипеде	Шлем девушки усаживаться на велосипеде	4.2	NEUTRAL
435	Женщина выполняет трюк на рампе с велосипедом	Женщина прыгает с велосипедом	4.3	NEUTRAL
436	Женщина выполняет трюк на рампе с велосипедом	Женщина выполняет трюк на рампе с автомобилем	2.4	NEUTRAL
438	Шлем девушки усаживаться на велосипеде	Женщина выполняет трюк на рампе с автомобилем	1.9	NEUTRAL
439	Девушка с шлемом усаживаться на велосипеде	Женщина выполняет трюк на рампе с велосипедом	2.9	NEUTRAL
440	Шлем девушка едет на велосипеде	Женщина выполняет трюк на рампе с велосипедом	3.7	NEUTRAL
441	Женщина выполняет трюк на рампе с велосипедом	Шлем девушки усаживаться на велосипеде	3.3	NEUTRAL
442	Блондины девушка серфинг	Белокурая девочка едет волну	4.7	ENTAILMENT
446	Дама серфинг и катание на волне	Мальчик серфинг и катание на волне	3.5	NEUTRAL
447	Женщина-серфинг	Белокурая девочка едет волну	4.0	NEUTRAL
449	Дама серфинг и катание на волне	Блондины девушка серфинг	3.6	NEUTRAL
451	Белокурая девушка волны в то время как она верхом	Дама серфинг и катание на волне	2.3	NEUTRAL
454	Двое детей и взрослый стоя рядом с деревом конечности	Двое детей и взрослый не стоит рядом с деревом конечности	3.6	CONTRADICTION
457	Двое детей и взрослый стоя рядом с деревом конечности	Двое детей восхождение дерева	3.0	NEUTRAL
461	Двое детей и взрослый стоя рядом с деревом конечности	Двое детей висит на большой ветке	2.7	NEUTRAL
462	Человек, одетый в черном, как езда на велосипеде	Человек выполняет трюк на велосипеде	3.5	NEUTRAL
465	Человек выполняет трюки на зеленом велосипеде	Человек выполняет трюк на велосипеде зеленый	4.7	ENTAILMENT
470	Там не человек, одетый в черное и верхом на зеленый велосипед	Человек выполняет трюк на велосипеде зеленый	3.4	NEUTRAL
473	Мальчик держит водяной пистолет	Ребенок держит водяной пистолет	4.5	ENTAILMENT
475	Смеющийся ребенок держит водяной пистолет и получать опрыскивают водой	Ребенок с пистолетом, который распыляет воду смеется и получить удар другими мальчиками	4.0	NEUTRAL
476	Там нет ребенка держит водяной пистолет или получить опрыскивают водой	Смеющийся ребенок держит водяной пистолет и получать опрыскивают водой	4.0	CONTRADICTION
477	Ребенок с пистолетом, который распыляет воду смеется и получить удар другими мальчиками	Ребенок держит водяной пистолет	3.9	ENTAILMENT
484	Два daschunds играют с красным мячом	Две собаки играют с маленьким красным мячом	4.2	NEUTRAL
485	Две кошки играют с красным мячом	Два daschunds играют с красным мячом	3.3	NEUTRAL
486	Две коричневые собаки дерутся за мячик и играют в траве	Две собаки играют с маленьким красным мячом	3.8	NEUTRAL
489	Там не собака играет с красным мячом	Два daschunds играют с красным мячом	3.0	CONTRADICTION
491	Черно-белая собака работает и человек стоит за ним	Собака, которая является черно-белым, работает и человек стоит за ним	4.9	ENTAILMENT
494	Немного собака спринт и человек, который владеет он пытается поймать его	Немного собака спринт и его владелец пытается поймать его	4.8	ENTAILMENT
496	Черно-белая собака работает и человек стоит за ним	Немного собака спринт и человек, который владеет он пытается поймать его	3.0	NEUTRAL
497	Черно-белая собака работает и человек стоит за ним	Немного собака замедляется и владелец бросить чеканка	2.9	NEUTRAL
499	Черно-белая собака не работает, и нет ни одного человека, стоящего позади	Немного собака спринт и его владелец пытается поймать его	2.7	NEUTRAL
500	Черный человек бежит по белой подставке и лает собака за ним	Немного собака спринт и его владелец пытается поймать его	2.5	NEUTRAL
505	Человек, одетый в черную рубашку крашеные сидит за столом и смех	Черная рубашка, надетой на человека, который сидит за столом и смех	4.7	ENTAILMENT
506	Человек, одетый в черную рубашку крашеные сидит за столом и смех	Там нет человека, одетого в рубашке окрашенной черный, сидя за стол и смех	3.7	CONTRADICTION
507	Смеющийся человек крашение рубашку черного цвета на столе, который вы не можете сидеть на 	Человек, одетый в черную рубашку крашеные сидит за столом и смех	3.6	NEUTRAL
508	Черная рубашка, надетой на человека, который сидит за столом и смех	Человек сидит комфортно за столом	3.5	NEUTRAL
513	Человек сидит и столов комфортное обсуждение	Человек, одетый в черную рубашку крашеные сидит за столом и смех	2.4	NEUTRAL
514	Человек сидит комфортно за столом	Человек, одетый в черную рубашку крашеные сидит за столом и смех	3.9	NEUTRAL
515	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	Женщина, которая носит розовый шарф едет на велосипеде вниз мост, построенный для пешеходов	4.3	ENTAILMENT
516	Женщина, которая взлетает с розовым боа останавливает свой велосипед на мосте, построенный для пешеходов	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	3.7	NEUTRAL
522	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	Женщина носить серебряные штаны, розовый клеш и розовый шарф не езда на велосипеде	2.6	NEUTRAL
524	Женщина, которая носит розовый шарф едет на велосипеде вниз мост, построенный для пешеходов	Женщина носить серебряные штаны, розовый клеш и розовый шарф едет на велосипеде	3.7	NEUTRAL
527	Женщина, которая носит розовое боа едет на велосипеде вниз мост, построенный для пешеходов	Женщина носить серебряные штаны, розовый клеш и розовый шарф едет на велосипеде	2.5	NEUTRAL
528	Человек, который едет на велосипеде, носить снаряжение, которое черный	Байкер носить механизм, который является черным	4.7	ENTAILMENT
529	Байкер обнажена	Байкер носить механизм, который является черным	3.315	CONTRADICTION
531	Черный шлем надет на человека, который толкает велосипед	Один человек, одетый в черный шлем и толкая велосипед	4.8	ENTAILMENT
535	Байкер носить механизм, который является черным	Там нет человека, одетого в черном шлют и толкая велосипед	2.7	NEUTRAL
538	Один человек, одетый в черный шлем и толкая велосипед	Байкер обнажена	2.6	NEUTRAL
541	Человек в сером майке сидит на скале в передней части водопада	Человек в футболке окрашенного серого сидит на скале перед водопадом	4.9	ENTAILMENT
