pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
123	Пятеро детей, стоя перед деревянной избой	Пять детей стоят близко друг к другу и один ребенок имеет оружие	2.8	NEUTRAL
125	Пяти детей стоят перед хижиной из дерева	Пять детей стоят близко друг к другу и один ребенок имеет оружие	3.0	NEUTRAL
128	Пятеро детей, стоя перед деревянной избой	Пять детей стоят близко друг к другу и один ребенок имеет оружие	2.3	NEUTRAL
132	Человек в шляпе и сидит на траве	Там нет ни одного человека в шляпе и, сидя на траве	3.3	CONTRADICTION
134	Человек сидит в поле и в шляпе	Человек сидит в поле	4.0	NEUTRAL
135	Человек сидит в поле	Там нет ни одного человека в шляпе и, сидя на траве	2.7	NEUTRAL
137	Старик сидит в поле	Человек в шляпе и сидит на траве	2.8	NEUTRAL
138	Человек в шляпе и сидит на траве	Человек работает в поле	1.4	NEUTRAL
142	Эта группа людей практикует безопасность воды и носить Хранитель	Хранители надетый на группу людей, которые практикуют безопасность воды	4.9	ENTAILMENT
143	Никто не практикует безопасность воды и носить Хранитель	Эта группа людей практикует безопасность воды и носить Хранитель	3.4	CONTRADICTION
144	Группа друзей гоняют ток в плоту	Хранители надетый на группу людей, которые практикуют безопасность воды	2.9	NEUTRAL
145	Никто не практикует безопасность воды и носить Хранитель	Группа друзей гоняют ток в плоту	2.2	NEUTRAL
147	Группа не едет тока в плоту	Эта группа людей практикует безопасность воды и носить Хранитель	2.8	NEUTRAL
149	Олень прыгает через забор	Олень перепрыгивает через корпус	4.535	ENTAILMENT
151	Дикий олень прыгает через забор	Олень прыгает через забор	4.8	ENTAILMENT
152	Олень прыгает через забор	Там нет оленей прыжков заборов	4.1	CONTRADICTION
153	Дикий олень прыгает через забор	Олень прыгает через забор	4.5	ENTAILMENT
154	Там нет оленей прыжков заборов	Олень прыгает через забор	2.685	CONTRADICTION
155	Олень перепрыгивает через корпус	Олень прыгает через забор	4.2	NEUTRAL
156	Олень прыгает через забор	Олень не прыгает через забор	3.55	CONTRADICTION
157	Олень прыгает через забор	Олень прыгает через забор	4.9	ENTAILMENT
158	Люди идут за пределами здания, которое имеет много фресок на нем	Люди идут за пределами здания, которое имеет несколько фресок на него	4.7	ENTAILMENT
160	Несколько людей находятся в передней части здания, которая покрыта цветами	Несколько людей находятся в передней части красочного здания	4.7	ENTAILMENT
162	Несколько людей находятся в передней части здания, которая покрыта цветами	Люди идут за пределами здания, которое имеет много фресок на нем	3.8	ENTAILMENT
165	Несколько людей находятся в передней части красочного здания	Люди идут внутри здания, которое имеет много фресок на нем	3.4	NEUTRAL
166	Люди идут за пределами здания, которое имеет много фресок на нем	Несколько людей находятся в передней части красочного здания	3.7	NEUTRAL
167	Мальчик бьет бейсбол	Ребенок бьет бейсбол	4.4	ENTAILMENT
168	Ребенок бьет бейсбол	Ребенок отсутствует бейсбол	3.8	CONTRADICTION
169	Семья смотрит на маленький мальчик, который бьет бейсбол	Семья смотрит на мальчика, который бьет бейсбол	4.6	ENTAILMENT
171	Маленький мальчик смотрит на семью, которая поражает бейсбол	Семья смотрит на маленький мальчик, который бьет бейсбол	3.7	NEUTRAL
172	Семья смотрит на мальчика, который бьет бейсбол	Ребенок бьет бейсбол	3.7	ENTAILMENT
174	Маленький мальчик смотрит на семью, которая поражает бейсбол	Ребенок бьет бейсбол	3.7	NEUTRAL
175	Семья смотрит на маленький мальчик, который бьет бейсбол	Мальчик бьет бейсбол	4.2	ENTAILMENT
177	Семья смотрит на маленький мальчик, который бьет бейсбол	Ребенок бьет бейсбол	4.1	ENTAILMENT
178	Большая группа азиатских людей ест в ресторане	Группа людей из Азии едят в ресторане	4.8	ENTAILMENT
179	Большая группа азиатских людей ест в ресторане	Небольшая группа людей ждет, чтобы поесть в ресторане	3.4	NEUTRAL
180	Большая группа азиатских людей ест в ресторане	Группа людей в большом азиатском ресторане ест	3.5	NEUTRAL
181	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	Различные клиенты едят в переполненном ресторане с фиолетовыми огнями	4.6	ENTAILMENT
182	Немногие люди едят на красных столах в ресторане без огней	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	3.2	NEUTRAL
187	Группа людей из Азии едят в ресторане	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	3.0	NEUTRAL
189	Группа людей в большом азиатском ресторане ест	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	3.3	NEUTRAL
190	Большая группа азиатских людей ест в ресторане	Различные люди едят на красных столах в переполненном ресторане с фиолетовыми огнями	3.3	NEUTRAL
191	Мотоцикл всадник стоит на сиденье белого мотоцикла	Мотоцикл едет стоя на сиденье автомобиля	4.1	ENTAILMENT
193	Кто-то на черно-белом мотоцикле и стоит на сиденье	Гонщик на черно-белый велосипед и стоит на сиденье	4.6	ENTAILMENT
195	Гонщик на черно-белый велосипед и стоит на сиденье	Мотоцикл всадник стоит на сиденье белого мотоцикла	3.6	NEUTRAL
196	Никто не на мотоцикле и стоит на сиденье	Мотоцикл всадник стоит на сиденье белого мотоцикла	3.6	CONTRADICTION
198	Кто-то на черно-белом мотоцикле и стоит на сиденье	Ни один мотоциклист не стоит на сиденье мотоцикла	3.6	CONTRADICTION
199	Кто-то на черно-белом мотоцикле и стоит на сиденье	Мотоцикл всадник стоит на сиденье белого мотоцикла	3.7	NEUTRAL
203	Мотоциклист с красным шлемом едет синий мотоцикл вниз по дороге	Мотоциклист без шлема ждет на синем мотоцикле рядом с дорогой	3.7	NEUTRAL
204	Человек со шлемом окрашены в красный цвет едет синий мотоцикл вниз по дороге	Мотоциклист едет на мотоцикле вдоль проезжей части	4.0	ENTAILMENT
206	Мотоциклист с красным шлемом едет синий мотоцикл вниз по дороге	Мотоциклист едет на мотоцикле опасно вдоль проезжей части	3.8	NEUTRAL
207	Там нет мотоциклиста ехал на мотоцикле вдоль проезжей части	Мотоциклист с красным шлемом едет синий мотоцикл вниз по дороге	3.3	CONTRADICTION
208	Мотоциклист с красным шлемом едет синий мотоцикл вниз по дороге	Мотоциклист едет на мотоцикле вдоль проезжей части	4.5	ENTAILMENT
209	Собака ловит палкой в ​​воздухе, а другой наблюдает	Собака прыгает высоко в воздухе, а другой наблюдает	4.2	ENTAILMENT
210	Там не собака прыгает в воздухе	Собака прыгает высоко в воздухе, а другой наблюдает	3.3	CONTRADICTION
212	Две собаки играют на дереве	Две собаки спят под деревом	3.565	NEUTRAL
213	Собака прыгает высоко в воздухе, а другой наблюдает	Две собаки играют на заводе	2.8	NEUTRAL
214	Собака прыгает высоко в воздухе, а другой наблюдает	Две собаки спят под деревом	2.6	NEUTRAL
220	Танцор танцует перед звуковым оборудованием	Блондинка танцует перед звуковым оборудованием	4.4	NEUTRAL
221	Блондинка танцует за звуковым оборудованием	Блондинка танцует перед звуковым оборудованием	3.9	NEUTRAL
222	Блондинка танцует перед звуковым оборудованием	Оборудование перед белокурой девушки танцуют звук	3.9	ENTAILMENT
229	Дети семьи терпеливо играть и ждать	Дети семьи играют и ожидания	4.5	ENTAILMENT
230	Дети семьи играют и ожидания	Там нет детей, играющих и ждущих	3.1	CONTRADICTION
231	Три азиатские дети танцуют и серьезный человек смотрит	Три азиатские дети танцуют и человек ищет	4.5	ENTAILMENT
235	Дети семьи играют и ожидания	Три азиатские дети танцуют и не смотрит ни один человек	2.7	NEUTRAL
239	Три азиатские дети танцуют и человек ищет	Дети семьи играют и ожидания	2.3	NEUTRAL
242	Женщина носит египетский головной убор	Египетский носить головной убор женщины	3.9	NEUTRAL
243	Женщина в очках и черный головной убор	Женщина с черной шляпе в солнцезащитных очках	3.9	NEUTRAL
244	Женщина не носить очки или головной убор	Женщина в очках и черный головной убор	3.9	CONTRADICTION
245	Черная женщина в очках над головным убором	Женщина в очках и черный головной убор	3.7	NEUTRAL
246	Женщина носит египетский головной убор	Женщина с черной шляпе в солнцезащитных очках	2.3	NEUTRAL
247	Женщина не носить очки или головной убор	Женщина носит египетский головной убор	3.6	CONTRADICTION
250	Женщина одета индийский головной убор	Женщина в очках и черный головной убор	3.0	NEUTRAL
251	Женщина в очках и черный головной убор	Египетский носить головной убор женщины	3.1	NEUTRAL
252	Женщина в очках и черный головной убор	Женщина носит египетский головной убор	3.8	NEUTRAL
255	Человек находится на высокой скале над деревьями и стоит в неудобном положении	Человек находится на высокой скале над деревьями и стоит в чужом положении	4.2	ENTAILMENT
261	Человек находится на высокой скале над деревьями и стоит в чужом положении	Турист находится на вершине горы и танцы	3.2	NEUTRAL
262	Пастушка едет коричневую лошадь и повороты ствола	Пастушка едет на лошади и углы за баррель	4.7	ENTAILMENT
263	Ковбой едет на лошади и на поворотах бочку	Пастушка едет на лошади и углы за баррель	4.1	NEUTRAL
264	Пастушка едет бочку возле лошади в углу	Пастушка едет на лошади и углы за баррель	2.8	NEUTRAL
267	Коричневый конь очень близко красный ствол на родео	Пастушка едет на лошади и углы за баррель	2.9	NEUTRAL
268	Коричневый конь далеко от красной бочки на родео	Пастушка едет на лошади и углы за баррель	2.5	NEUTRAL
270	Ковбой едет на лошади и на поворотах бочку	Коричневый конь рядом с красным стволом в родео	3.7	NEUTRAL
271	Коричневый конь рядом с красным стволом в родео	Пастушка едет бочку возле лошади в углу	3.1	NEUTRAL
274	Мальчик стоит вне воды	Мальчик стоит в воде	3.6	NEUTRAL
275	Ребенок плавает через синий океан	Мальчик пробираться через синий океан	4.2	NEUTRAL
278	Мальчик стоит в воде	Мальчик сидит возле синего океана	2.8	NEUTRAL
281	Мальчик стоит в воде	Мальчик пробираться через синий океан	4.0	NEUTRAL
282	Опытный человек играет на гитаре на сцене	Человек играет на гитаре на сцене	4.6	ENTAILMENT
284	Человек имеет светлые и развевающиеся волосы и играет на гитару	Гитарист имеет светлые и развевающиеся волосы	4.7	ENTAILMENT
288	Опытный человек играет на гитаре на сцене	Человек имеет светлые и развевающиеся волосы и играет на гитару	3.8	NEUTRAL
290	Человек играет на гитаре на сцене	Человек имеет светлые и развевающиеся волосы и играет на гитару	3.0	NEUTRAL
292	Несколько детей сидят вниз и колени подняты	Несколько дети встают	3.285	NEUTRAL
294	Две девочки лежат на земле	Две девочки сидят на земле	3.8	NEUTRAL
295	Две молодые девушки сидят на земле	Несколько детей сидят вниз и колени подняты	2.9	NEUTRAL
297	Несколько детей лежа и поднимают колени	Две девочки сидят на земле	2.3	NEUTRAL
298	Несколько дети встают	Две девочки сидят на земле	1.8	NEUTRAL
299	Несколько детей сидят вниз и колени подняты	Две девочки сидят на земле	3.2	NEUTRAL
300	Обнаженная дама идет впереди многих людей в краске тела	Голая дама ходит перед толпой в краске тела	4.7	ENTAILMENT
306	Старая, топлес женщина покрыта краской	Голая дама ходит перед толпой в краске тела	3.1	NEUTRAL
307	Молодой, топлес женщина покрыта краской	Обнаженная дама идет впереди многих людей в краске тела	3.5	NEUTRAL
308	Там нет леди ходить в краске тела перед толпой 	Молодой, топлес женщина покрыта краской	3.2	NEUTRAL
314	Группа детей в униформе стоит у ворот и нет ни одного целуя мать	Группа детей в униформе стоит у ворот и один целует мать	3.8	CONTRADICTION
316	Толпа людей у ​​воды	Группа детей, носить ту же одежду, ждет у ворот и один целует мать	1.6	NEUTRAL
318	Группа матерей в униформе стоит у детей и один целуют ворота	Толпа людей у ​​воды	1.7	NEUTRAL
319	Группа людей, рядом с океаном	Группа детей в униформе стоит у ворот и один целует мать	1.8	NEUTRAL
320	Толпа людей далеко от воды	Группа детей в униформе стоит у ворот и один целует мать	1.0	NEUTRAL
321	Толпа людей у ​​воды	Группа детей в униформе стоит у ворот и один целует мать	1.9	NEUTRAL
322	Человек на стоянке и играет в теннис против большой стены	Одинокий человек на стоянке, и играет в теннис против большой стены	4.7	ENTAILMENT
324	Человек указывает на серебро седан	Человек указывает на автомобиль	4.4	ENTAILMENT
325	Человек указывает на серебро седан	Там нет ни одного человека, указывая на машину	4.1	CONTRADICTION
326	Человек указывает на автомобиль	Человек на стоянке и играет в теннис против большой стены	2.3	NEUTRAL
328	Человек указывает на серебро седан	Одинокий человек на стоянке, и играет в теннис против большой стены	1.4	NEUTRAL
330	Человек указывает на серебро седан	Человек на стоянке и играет в теннис против большой стены	1.3	NEUTRAL
334	Мужчина, женщина и две девочки гуляют на пляже	Мужчина, женщина и две девочки сидят на пляже	3.1	NEUTRAL
336	Мужчина, женщина и две девочки сидят на пляже	Группа людей на пляже	4.4	ENTAILMENT
337	Мужчина, женщина и две девочки гуляют на пляже	Группа людей, рядом с морем	3.8	ENTAILMENT
343	Азиатская женщина в толпе несет черную сумку	Азиатская женщина среди многих людей несет черный мешок	4.8	ENTAILMENT
345	Азиатская женщина среди многих людей несет черный мешок	Девушка с черной сумкой на переполненном поезде	3.5	NEUTRAL
348	Там нет девушки с черным мешком на переполненный поезде	Азиатская женщина в толпе несет черную сумку	2.6	NEUTRAL
349	Азиатская женщина в толпе несет черную сумку	Стесненных черный поезд на сумке девушки	2.1	NEUTRAL
350	Девушка с черной сумкой на переполненном поезде	Азиатская женщина в толпе несет черную сумку	3.2	NEUTRAL
352	Там нет собаки чеканка другой или держа палку в рот	Собака преследует другую и держит палку в рот	3.9	CONTRADICTION
353	Собака преследует другую и держит палку в рот	Собака преследует палку и держа другую собаку в рот	3.2	NEUTRAL
355	Там не собака работает и несущий объект во рту	Две собаки работают и несущий объект в рот	3.5	CONTRADICTION
356	Две собаки работают и нести игрушку в рот	Собака преследует другую и держит палку в рот	4.2	NEUTRAL
357	Там не собака работает и несущий объект во рту	Собака преследует другую и держит палку в рот	3.1	CONTRADICTION
359	Там нет собаки чеканка другой или держа палку в рот	Две собаки работают и несущий объект в рот	3.9	NEUTRAL
364	Человек, который играет в футбол ногами мяч в ворота	Футбольный игрок ногами мяч в ворота	4.9	ENTAILMENT
365	Футболист ногами мяч из ворот	Футбольный игрок ногами мяч в ворота	4.4	NEUTRAL
368	Грязный футбольный мяч катится в сетку ворот	Футбольный игрок ногами мяч в ворота	3.8	NEUTRAL
369	Футбольный игрок ногами мяч в ворота	Футбольный мяч не переходящий в сетку ворот	2.8	NEUTRAL
371	Человек отдыхает на стуле и потирая глаза	Человек сидит на стуле и потирая глаза	4.3	ENTAILMENT
376	Человек сидит на стуле и потирая глаза	Татуированный человек на диване и держа карандаш	2.4	NEUTRAL
383	Коричневый и белый собака отдыхает в траве	Коричневый и белый собака работает в высокой траве	3.935	NEUTRAL
385	Черная и загар собака проходит через низкую и зеленую траву	Белая и загар собака бежит по высокой и зеленой траве	4.0	NEUTRAL
386	Белая и загар собака бежит через поле	Коричневый и белый собака работает в высокой траве	4.0	NEUTRAL
388	Коричневый и белый собака движется через дикие травы	Белая и загар собака бежит по высокой и зеленой траве	3.6	NEUTRAL
389	Белая и загар собака бежит по высокой и зеленой траве	Коричневый и белый собака отдыхает в траве	3.4	NEUTRAL
399	Там нет ни одного человека, носить одежду, которая покрыта краской или сидит на улице в оживленном районе что-то писать	Человек сидит рядом с велосипедом и пишет записку	2.7	NEUTRAL
400	Человек сидит рядом с велосипедом и пишет записку	Сидящий человек занят написанием что-то в районе покрыты краской	3.2	NEUTRAL
401	Человек сидит рядом с велосипедом и пишет записку	Человек в одежде, которые покрыты краской и сидит на улице в оживленном районе что-то писать	3.7	NEUTRAL
405	Некоторые люди ходят	Некоторые люди стоят	3.5	NEUTRAL
406	Группа разведчиков походы по траве	Люди идут	3.6	ENTAILMENT
407	Некоторые люди стоят	Группа разведчиков походы по траве	1.8	NEUTRAL
408	Группа исследователей идет по траве	Некоторые люди ходят	4.1	ENTAILMENT
411	Двое мужчин отдохнуть от поездки на заснеженной дороге	Двое мужчин отдохнуть от поездки на дороге, покрытой снегом	4.9	ENTAILMENT
412	Двое мужчин отдохнуть от поездки на заснеженной дороге	Два человека идет по заснеженной дороге	3.3	NEUTRAL
414	Двое мужчин держат велосипеды и, стоя на обочине дороги, покрытой снегом	Двое мужчин с велосипедами на стороне снежной дороги	4.7	ENTAILMENT
416	Двое мужчин отдохнуть от поездки на заснеженной дороге	Двое мужчин держат велосипеды и, стоя на обочине дороги, покрытой снегом	3.8	NEUTRAL
418	Двое мужчин с велосипедами на стороне снежной дороги	Двое мужчин отдохнуть от поездки на дороге, покрытой снегом	3.2	NEUTRAL
419	Двое мужчин с велосипедами на стороне снежной дороги	Два человека идет по заснеженной дороге	3.9	NEUTRAL
420	Двое мужчин с велосипедами на стороне снежной дороги	Двое мужчин ломают в машину во время поездки на заснеженной дороге	2.2	NEUTRAL
421	Двое мужчин с велосипедами на стороне снежной дороги	Двое мужчин отдохнуть от поездки на заснеженной дороге	3.7	NEUTRAL
424	Два человека стоят у воды и держат удочки	Два человека стоят у воды и держат инструменты, используемые для рыбалки	4.5	ENTAILMENT
425	Там нет ни одного человека, стоящего рядом с водой и проведение удочки	Два человека стоят у воды и держат удочки	3.4	CONTRADICTION
426	Два человека держат некоторое количество воды, стоя рядом с удочками	Два человека стоят у воды и держат удочки	3.6	NEUTRAL
429	Двое мужчин, проведение удочки	Два человека держат некоторое количество воды, стоя рядом с удочками	2.6	NEUTRAL
430	Два человека стоят у воды и держат удочки	Два человека держат удочки и рыболовные снасти	3.9	NEUTRAL
431	Два человека не держат удочки	Два человека стоят у воды и держат удочки	3.6	CONTRADICTION
432	Два человека стоят у воды и держат удочки	Двое мужчин, проведение удочки	4.4	ENTAILMENT
433	Шлем девушки усаживаться на велосипеде	Девушка с шлемом усаживаться на велосипеде	4.9	ENTAILMENT
437	Женщина прыгает с велосипедом	Шлем девушки усаживаться на велосипеде	2.8	NEUTRAL
443	Белокурая девочка едет волну	Белокурая девушка смотрит на волны	3.8	NEUTRAL
444	Белокурая девочка едет волну	Белокурая девушка волны в то время как она верхом	3.2	NEUTRAL
445	Дама серфинг и катание на волне	Женщина-серфинг	4.6	ENTAILMENT
448	Мальчик серфинг и катание на волне	Белокурая девочка едет волну	3.6	NEUTRAL
452	Дама серфинг и катание на волне	Белокурая девочка едет волну	4.0	NEUTRAL
453	Двое детей и взрослый стоя рядом с деревом конечности	Три человек стоит рядом с деревом конечности	4.6	ENTAILMENT
455	Двое детей висит на большой ветке	Двое детей восхождение дерева	4.2	ENTAILMENT
456	Там нет ребенка висит на большой ветке	Двое детей висит на большой ветке	3.3	CONTRADICTION
458	Двое детей и взрослый стоя рядом с деревом конечности	Там нет ребенка висит на большой ветке	2.4	NEUTRAL
459	Три человек стоит рядом с деревом конечности	Двое детей висит на большой ветке	2.5	NEUTRAL
460	Двое детей висит на большой ветке	Двое детей и взрослый не стоит рядом с деревом конечности	2.4	NEUTRAL
463	Там не человек, одетый в черное и верхом на зеленый велосипед	Человек, одетый в черном, как езда на велосипеде	3.2	CONTRADICTION
464	Черный человек в зеленом едет на велосипеде	Человек, одетый в черном, как езда на велосипеде	3.5	NEUTRAL
466	Человек выполняет трюк на велосипеде зеленый	Там нет ни одного человека, выполняя трюк на велосипеде зеленый	4.8	CONTRADICTION
467	Человек, одетый в черном, как езда на велосипеде	Человек выполняет трюки на зеленом велосипеде	3.3	NEUTRAL
468	Там нет ни одного человека, выполняя трюк на велосипеде зеленый	Человек, одетый в черном, как езда на велосипеде	2.8	NEUTRAL
469	Человек выполняет трюк на велосипеде зеленый	Человек выполняет трюк на велосипеде	4.5	ENTAILMENT
471	Человек выполняет трюк на велосипеде зеленый	Черный человек в зеленом едет на велосипеде	2.7	NEUTRAL
472	Человек выполняет трюк на велосипеде зеленый	Человек, одетый в черном, как езда на велосипеде	3.8	NEUTRAL
474	Там нет ребенка держит водяной пистолет	Ребенок держит водяной пистолет	3.035	CONTRADICTION
478	Ребенок держит водяной пистолет	Там нет ребенка держит водяной пистолет или получить опрыскивают водой	4.085	CONTRADICTION
479	Мальчик держит водяной пистолет	Смеющийся ребенок держит водяной пистолет и получать опрыскивают водой	4.0	NEUTRAL
480	Там нет ребенка держит водяной пистолет	Смеющийся ребенок держит водяной пистолет и получать опрыскивают водой	3.6	CONTRADICTION
481	Смеющийся ребенок держит водяной пистолет и получать опрыскивают водой	Ребенок держит водяной пистолет	4.5	ENTAILMENT
